RecordID,Company,Fiscal Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Source,Note
53,Apple,2021,3.56E+11,96952445365,3.58E+11,2.68E+11,96611048150,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
54,Microsoft,2023,2.11E+11,84993778146,3.63E+11,2.09E+11,87135194929,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
55,Tesla,2023,84254578106,15995056213,81161547432,43322821515,17166312600,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
56,Apple,2022,4.15E+11,1.00E+11,3.53E+11,2.85E+11,1.14E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
57,Tesla,2021,54733401905,5645870,64184709670,29573418367,5881622421,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
58,Apple,2023,3.99E+11,1.01E+11,3.66E+11,2.98E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
59,Apple,2022,3.91E+11,99789339414,3.45E+11,2.87E+11,1.14E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
60,Microsoft,2022,2.03E+11,70823323440,3.09E+11,1.95E+11,71174613948,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
61,Microsoft,2022,1.87E+11,73305740340,3.31E+11,1.97E+11,71973777328,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
62,Apple,2021,3.68E+11,92707407841,3.41E+11,3.00E+11,1.02E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
63,Apple,2022,4.21E+11,97411989097,3.43E+11,2.82E+11,1.03E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
64,Tesla,2021,52980728512,5556679,65589755016,30867692809,5897050788,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
65,Microsoft,2021,1.61E+11,64445353178,3.15E+11,1.80E+11,57944162324,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
66,Tesla,2023,84838786404,15123541763,82688533305,39950140042,16546498848,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
67,Microsoft,2021,1.68E+11,61086035102,3.00E+11,1.86E+11,59077211113,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
68,Apple,2021,3.64E+11,90871378278,3.57E+11,2.96E+11,1.09E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
69,Apple,2023,3.86E+11,1.06E+11,3.51E+11,3.04E+11,1.06E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
70,Microsoft,2022,2.05E+11,71464240702,3.43E+11,1.99E+11,76059687042,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
71,Tesla,2023,80409083128,14845759561,77850712787,44904152755,17457952070,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
72,Microsoft,2022,1.97E+11,73895226697,3.32E+11,1.96E+11,68988714722,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
73,Microsoft,2021,1.67E+11,63654120102,3.08E+11,1.86E+11,58275341092,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
74,Tesla,2023,84463045729,14202308456,84281080796,40283970706,18068636041,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
75,Apple,2023,3.87E+11,97219741471,3.45E+11,2.81E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
76,Microsoft,2022,2.04E+11,69109774516,3.38E+11,1.92E+11,75325507686,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
77,Tesla,2021,53905157628,5419962,58134464586,30465217383,5784632197,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
78,Tesla,2021,51981668851,5833841,61634250764,28916599041,6007504437,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
79,Microsoft,2021,1.72E+11,59875233319,2.97E+11,1.86E+11,60006654780,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
80,Tesla,2022,78515419580,11466742830,85432404728,44124652933,14888351369,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
81,Tesla,2023,83569507991,14560981581,82070436811,44267855774,16511304831,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
82,Tesla,2022,81656475753,11435393744,82502051222,41057728801,14373447628,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
83,Tesla,2023,78909275003,14707422992,80119758627,42549854620,17111658691,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
84,Tesla,2023,83717963949,14865459598,87523253831,45064037001,17285751531,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
85,Apple,2021,3.44E+11,97761072862,3.59E+11,2.85E+11,99676986571,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
86,Apple,2021,3.72E+11,96101039177,3.49E+11,2.85E+11,97130203894,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
87,Tesla,2023,81888260710,15413129184,81978378082,43586281295,17421218070,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
88,Tesla,2023,82858914127,14233504901,88696483677,42447853412,17254109416,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
89,Tesla,2022,79268899620,12232120983,82532740297,44209490718,15451019547,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
90,Tesla,2021,55071206788,5627558,62020087840,30804330445,5704260233,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
91,Tesla,2022,86673481669,11319857349,78626813562,42290373875,14740116252,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
92,Apple,2021,3.69E+11,1.02E+11,3.45E+11,2.85E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
93,Microsoft,2022,1.95E+11,75325360614,3.28E+11,1.88E+11,73402999201,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
94,Microsoft,2023,2.13E+11,82515100855,3.70E+11,2.08E+11,81218864095,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
95,Microsoft,2023,2.13E+11,89396257850,3.74E+11,2.08E+11,85008875180,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
96,Apple,2022,3.90E+11,1.01E+11,3.61E+11,2.68E+11,1.15E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
97,Microsoft,2021,1.62E+11,58117774383,2.97E+11,1.83E+11,61444499394,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
98,Tesla,2022,77806291190,12445365586,79861456363,40903402546,15232455020,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
99,Apple,2021,3.85E+11,94588213674,3.60E+11,2.96E+11,1.02E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
100,Tesla,2022,82415374256,12173677569,82824930612,43327858721,14772239487,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
101,Apple,2023,3.98E+11,98674944514,3.46E+11,2.85E+11,1.08E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
102,Apple,2023,3.94E+11,1.01E+11,3.70E+11,2.83E+11,1.01E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
103,Apple,2022,3.96E+11,1.02E+11,3.43E+11,2.68E+11,1.11E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
104,Microsoft,2021,1.82E+11,61200521334,3.11E+11,1.86E+11,61411086755,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
105,Apple,2022,3.87E+11,1.04E+11,3.45E+11,2.83E+11,1.11E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
106,Microsoft,2023,2.09E+11,81383918509,3.56E+11,2.00E+11,85557077929,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
107,Microsoft,2021,1.71E+11,59857185630,2.96E+11,1.84E+11,62955452190,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
108,Tesla,2022,80859705436,11452798956,75428122122,42203797918,15353053483,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
109,Apple,2023,3.80E+11,99185167197,3.23E+11,2.90E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
110,Apple,2023,3.91E+11,96994514064,3.55E+11,2.83E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
111,Microsoft,2021,1.63E+11,58988087071,2.92E+11,1.73E+11,59970871487,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
112,Tesla,2021,55677022946,5268453,64786424160,30274039153,6213687338,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
113,Microsoft,2022,1.99E+11,76035984405,3.18E+11,2.12E+11,76570429231,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
114,Microsoft,2021,1.68E+11,61201141625,3.02E+11,1.86E+11,60463680614,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
115,Tesla,2021,55355235125,5713859,63356946087,29000869970,5906325299,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
116,Microsoft,2023,2.14E+11,86200480456,3.71E+11,2.10E+11,82151598769,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
117,Tesla,2023,80790740959,14530611974,80528902690,42669588251,17709618979,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
118,Microsoft,2023,2.16E+11,87517424132,3.75E+11,2.11E+11,83860831773,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
119,Apple,2022,3.89E+11,1.03E+11,3.65E+11,2.82E+11,1.13E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
120,Apple,2022,3.90E+11,98184726670,3.56E+11,2.87E+11,1.14E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
121,Tesla,2023,80645677041,15617074867,87477046515,43876015825,16685293604,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
122,Apple,2022,3.89E+11,99858208118,3.56E+11,2.83E+11,1.07E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
123,Apple,2022,3.76E+11,1.01E+11,3.74E+11,2.94E+11,1.08E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
124,Tesla,2022,82759993656,12092525588,84453406235,44151806856,15463482910,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
125,Apple,2022,3.92E+11,1.02E+11,3.56E+11,2.68E+11,1.09E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
126,Apple,2022,3.97E+11,1.02E+11,3.51E+11,2.94E+11,1.15E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
127,Tesla,2022,82742454071,11957479080,81877562265,40613323201,15134592361,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
128,Apple,2023,3.64E+11,1.01E+11,3.52E+11,2.86E+11,1.12E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
129,Microsoft,2021,1.63E+11,57827079167,3.11E+11,1.92E+11,59558875117,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
130,Tesla,2021,53700792552,5665072,60904097117,30196397187,6360682022,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
131,Tesla,2023,83482548446,15279978719,85226064265,44392316879,16770158292,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
132,Microsoft,2023,2.15E+11,83289070940,3.65E+11,2.08E+11,82285079065,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
133,Apple,2021,3.69E+11,91122096534,3.40E+11,2.96E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
134,Tesla,2023,83144634431,15622036813,75591552120,44774366043,17674722782,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
135,Apple,2021,3.68E+11,93329881136,3.64E+11,2.79E+11,1.03E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
136,Microsoft,2021,1.66E+11,63293250961,3.12E+11,1.69E+11,62349780219,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
137,Tesla,2022,83224239168,12016938139,85064889896,41147643713,14772309872,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
138,Microsoft,2023,1.96E+11,81993164927,3.62E+11,2.12E+11,77027516715,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
139,Microsoft,2022,1.98E+11,71709693691,3.41E+11,1.92E+11,74475903041,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
140,Microsoft,2021,1.76E+11,60936559668,3.06E+11,1.92E+11,59200100702,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
141,Apple,2022,3.87E+11,1.02E+11,3.55E+11,2.88E+11,1.11E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
142,Tesla,2021,55342647752,5475438,60785543097,29574309158,6108484158,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
143,Apple,2021,3.61E+11,94384917858,3.56E+11,2.97E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
144,Tesla,2021,51454904215,5438732,59855138153,30724936133,6191735366,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
145,Apple,2023,3.75E+11,97911262531,3.76E+11,2.98E+11,1.02E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
146,Microsoft,2023,2.12E+11,83545139338,3.45E+11,2.10E+11,81539852408,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
147,Microsoft,2021,1.63E+11,62810318839,3.02E+11,1.84E+11,62016835998,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
148,Microsoft,2021,1.68E+11,61079238622,3.14E+11,1.84E+11,62599530228,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
149,Tesla,2023,82468718882,15288833576,84755356574,43082145273,16677787615,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
150,Microsoft,2021,1.66E+11,61926386377,3.12E+11,1.89E+11,63868387982,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
151,Tesla,2023,84044198383,14956424365,82566834883,42803761106,16591492540,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
152,Tesla,2021,55233451537,5531621,62086432169,28800757746,6135840540,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
153,Microsoft,2023,2.09E+11,82327389400,3.63E+11,2.08E+11,81140727721,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
154,Apple,2022,4.08E+11,1.02E+11,3.59E+11,2.92E+11,1.08E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
